,name,review_count,rating,price,catergory,latitude,longitude
0,La Tour Eiffel,2039,4.5,,Landmarks & Historical Buildings,48.858368,2.29448028497734
1,La Coïncidence,507,4.5,€€,French,48.868105,2.284365
2,L'Arc de Triomphe,686,4.5,,Landmarks & Historical Buildings,48.8738256014877,2.29502221103758
3,Ladurée,1536,4.0,€€€,Macarons,48.870838,2.303188
4,Les Cocottes,539,4.0,€€€,Bistros,48.85819,2.30183
5,Le Hide,221,4.5,€€€,French,48.8763,2.29401
6,Carette,241,4.0,€€,Tea Rooms,48.863708,2.287207
7,Le Cinq,151,4.5,€€€€,French,48.8688,2.30083
8,Le Volant Basque,233,4.5,€€,Basque,48.8499,2.29127
9,Le Relais de l’Entrecôte,538,4.0,€€€,Steakhouses,48.86808,2.30295
10,La Fontaine de Mars,308,4.5,€€€,French,48.858394,2.302568
11,Lac Hong,232,4.0,€€,Vietnamese,48.869011,2.289861
12,Firmine,440,4.0,€€,Italian,48.8545428785436,2.29536492165825
13,Le Relais de Venise - l'Entrecôte,288,4.0,€€€,Desserts,48.878045,2.285062
14,Ozio,94,4.5,€€,Italian,48.86631,2.28581
15,Langousta,38,5.0,€€,Seafood,48.856266,2.278149
16,La Petite Marquise,67,4.5,€€,Bakeries,48.86958,2.28557
17,Musée Marmottan Monet,68,4.5,,Museums,48.8591399,2.26755
18,L'Ami Jean,240,4.0,€€€€,French,48.86018,2.30594
19,Café de Mars,116,4.5,€€,French,48.85731,2.30205
20,Musée du Louvre,1994,4.5,,Museums,48.86206,2.334521
21,L'Avant Comptoir,643,4.5,€€,Tapas Bars,48.85202,2.3388
22,Le Comptoir de la Gastronomie,1216,4.5,€€,French,48.8645157999652,2.34540185646608
23,Musée d’Orsay,886,4.5,,Museums,48.8604072252412,2.32502393267818
24,Bistro des Augustins,463,4.5,€€,Bistros,48.854754,2.342119
25,L'As du Fallafel,1906,4.5,€€,Kosher,48.857498,2.35908
26,La Jacobine,313,4.5,€€€,Tea Rooms,48.8532345157095,2.33900494873524
27,Jardin du Luxembourg,380,4.5,,Parks,48.8468096948025,2.33754648154959
28,Le Bistro du Périgord,364,4.5,€€€,Bistros,48.8498092201519,2.34515282327701
29,Shakespeare and Company,327,4.5,€€,Bookstores,48.852658704771,2.3469621526521
30,Little Breizh,209,4.5,€€,Creperies,48.853215,2.337917
31,Eggs & Co,380,4.5,€€,Breakfast & Brunch,48.853123,2.331244
32,Berthillon,744,4.5,€€,Ice Cream & Frozen Yogurt,48.851702,2.356713
33,Le Relais de l'Entrecôte,479,4.0,€€€,Steakhouses,48.85469,2.3329
34,Angelina,1459,4.0,€€€,Breakfast & Brunch,48.865092,2.328464
35,Chez le Libanais,188,4.5,€,Lebanese,48.85331,2.34166
36,Ladurée,312,4.0,€€€,Tea Rooms,48.8555969,2.334102
37,Chez Fernand,212,4.5,€€€,French,48.85461,2.33954
38,Louvre Pyramid,182,4.5,,Landmarks & Historical Buildings,48.86102,2.335858
39,Le Comptoir,446,4.0,€€€,Bistros,48.851945700766,2.338757487651
40,Du Pain et des Idées,472,4.5,€€,Bakeries,48.8712,2.3628999
41,L'As du Fallafel,1906,4.5,€€,Kosher,48.857498,2.35908
42,Le Comptoir de la Gastronomie,1216,4.5,€€,French,48.8645157999652,2.34540185646608
43,Musée du Louvre,1994,4.5,,Museums,48.86206,2.334521
44,Holybelly 5,263,4.5,€€,Breakfast & Brunch,48.871022,2.359819
45,Holybelly 19,299,4.5,€€,Breakfast & Brunch,48.87213,2.36078
46,Ober Mamma,289,4.5,€€,Pizza,48.86446,2.37018
47,Chez Alain Miam Miam,171,4.5,€€,Creperies,48.862262,2.362023
48,Le Barav,189,4.5,€€,Wine Bars,48.86518,2.36319
49,Epicerie Breizh,459,4.0,€€,Creperies,48.861039,2.361757
50,Little Red Door,232,4.5,€€,Cocktail Bars,48.86378,2.3636
51,Berthillon,744,4.5,€€,Ice Cream & Frozen Yogurt,48.851702,2.356713
52,Banh Mi,162,4.5,€,Vietnamese,48.86662,2.36071
53,Musée d’Orsay,886,4.5,,Museums,48.8604072252412,2.32502393267818
54,Jacques Genin,131,4.5,€€€,Chocolatiers & Shops,48.86445,2.36461
55,Kitchen,228,4.5,€€,Breakfast & Brunch,48.864506,2.354586
56,Pierre Sang,154,4.5,€€€,French,48.86461,2.37233
57,Candelaria,337,4.0,€€,Mexican,48.862981,2.364033
58,Angelina,1459,4.0,€€€,Breakfast & Brunch,48.865092,2.328464
59,Siseng,161,4.5,€€,Burgers,48.87228,2.36506
60,Musée du Louvre,1994,4.5,,Museums,48.86206,2.334521
61,Musée d’Orsay,886,4.5,,Museums,48.8604072252412,2.32502393267818
62,L'Avant Comptoir,643,4.5,€€,Tapas Bars,48.85202,2.3388
63,Le Comptoir de la Gastronomie,1216,4.5,€€,French,48.8645157999652,2.34540185646608
64,Bistro des Augustins,463,4.5,€€,Bistros,48.854754,2.342119
65,Les Antiquaires,424,4.5,€€€,Bistros,48.8580664639432,2.32823697067099
66,L'As du Fallafel,1906,4.5,€€,Kosher,48.857498,2.35908
67,La Tour Eiffel,2039,4.5,,Landmarks & Historical Buildings,48.858368,2.29448028497734
68,La Jacobine,313,4.5,€€€,Tea Rooms,48.8532345157095,2.33900494873524
69,Angelina,1459,4.0,€€€,Breakfast & Brunch,48.865092,2.328464
70,Le Relais de l'Entrecôte,479,4.0,€€€,Steakhouses,48.85469,2.3329
71,Eggs & Co,380,4.5,€€,Breakfast & Brunch,48.853123,2.331244
72,Ladurée,312,4.0,€€€,Tea Rooms,48.8555969,2.334102
73,Little Breizh,209,4.5,€€,Creperies,48.853215,2.337917
74,Louvre Pyramid,182,4.5,,Landmarks & Historical Buildings,48.86102,2.335858
75,L'Atelier de Joël Robuchon,396,4.0,€€€€,French,48.8568107229545,2.32785068883627
76,Berthillon,744,4.5,€€,Ice Cream & Frozen Yogurt,48.851702,2.356713
77,Jardin du Luxembourg,380,4.5,,Parks,48.8468096948025,2.33754648154959
78,Sanukiya,371,4.5,€€,Japanese,48.8647,2.3338199
79,Chez le Libanais,188,4.5,€,Lebanese,48.85331,2.34166
80,Musée du Louvre,1994,4.5,,Museums,48.86206,2.334521
81,Le Potager du Père Thierry,448,4.5,€€,French,48.884476,2.341335
82,Le Comptoir de la Gastronomie,1216,4.5,€€,French,48.8645157999652,2.34540185646608
83,Le Petit Canard,200,4.5,€€,French,48.880166,2.337314
84,Basilique du Sacré-Cœur de Montmartre,595,4.5,,Churches,48.88709,2.34343
85,La Cave Gourmande,364,4.5,€€,Bistros,48.884499,2.339847
86,Musée d’Orsay,886,4.5,,Museums,48.8604072252412,2.32502393267818
87,Al Caratello,217,4.5,€€,Italian,48.885237,2.335898
88,Angelina,1459,4.0,€€€,Breakfast & Brunch,48.865092,2.328464
89,Dirty Dick,265,4.0,€€,Cocktail Bars,48.88153,2.33751
90,La Tour Eiffel,2039,4.5,,Landmarks & Historical Buildings,48.858368,2.29448028497734
91,L'As du Fallafel,1906,4.5,€€,Kosher,48.857498,2.35908
92,Pink Mamma,282,4.0,€€,Steakhouses,48.88187,2.3346
93,Opéra National de Paris - Palais Garnier,245,4.5,,Landmarks & Historical Buildings,48.8719444,2.3316667
94,Le Grenier à Pain,140,4.5,€,Bakeries,48.88518,2.33664
95,Du Pain et des Idées,472,4.5,€€,Bakeries,48.8712,2.3628999
96,La Vache et le Cuisinier,79,5.0,€€€,French,48.8846092,2.3412001
