,name,latitude,longitude,free_bikes
0,Benjamin Godard - Victor Hugo,48.865983,2.275725,4
1,André Mazet - Saint-André des Arts,48.85375581057431,2.3390958085656166,23
2,Faubourg Du Temple - Republique,48.867872484749,2.3648982158072,33
3,Beaux-Arts - Bonaparte,48.856451985395786,2.334851883351803,17
4,Toudouze - Clauzel,48.87929591733507,2.3373600840568547,4
5,Charonne - Robert et Sonia Delaunay,48.855907555969,2.3925706744194,2
6,Mairie du 12ème,48.840855311763,2.3875549435616,11
7,Square Boucicaut,48.851296433665276,2.325061820447445,28
8,Harpe - Saint-Germain,48.851518815017,2.3436703160405,39
9,Jouffroy d'Abbans - Wagram,48.881973298351625,2.301132157444954,1
10,Guersant - Gouvion-Saint-Cyr,48.88287775178599,2.287667370814871,4
11,Alibert - Jemmapes,48.871044051984,2.3661044619878,2
12,Caumartin - Provence,48.874422773426545,2.3284685611724854,4
13,Cassini - Denfert-Rochereau,48.837525839067,2.3360354080796,11
14,Saint-Sulpice,48.85165383178419,2.3308077827095985,13
15,Raspail - Varenne,48.85314781654488,2.3263905197381973,5
16,Lacépède - Monge,48.84389286531899,2.3519663885235786,3
17,Saint-Romain - Cherche-Midi,48.84708159081946,2.321374788880348,11
18,André Karman - République,48.91039875761846,2.3851355910301213,9
19,Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,2
20,Bois de Vincennes - Gare,48.836022242886884,2.4708339950830287,4
21,Silly - Galliéni,48.835583838706,2.2325500845909,22
22,Place Nelson Mandela ,48.862090937689715,2.196576297283173,3
23,Le Brun - Gobelins,48.835092787824,2.3534681351338,12
24,Gare du Nord - Place de Valenciennes,48.879089,2.354235,3
25,Grande Armée - Brunel,48.876116,2.288124,18
26,Génie - Mozart,48.794902381218904,2.3734183609485626,2
27,Thouin - Cardinal Lemoine,48.84504716661511,2.3494647851273465,1
28,Froment - Bréguet,48.8570414504784,2.37289470306807,36
29,Notre-Dame-des-Champs - Stanislas,48.84479928858768,2.329337755887181,6
30,Morillons - Dantzig,48.83310149953933,2.299380004405976,9
31,Grenelle - Dr Finlay,48.851315406715976,2.2919502854347233,51
32,Chazelles - Courcelles ,48.879406604954,2.3034455627202988,5
33,Croulebarde - Corvisart,48.830981659316855,2.3481646925210953,3
34,Ramponeau - Belleville,48.871031137596,2.379056852114,2
35,Le Brix et Mesmin - Jourdan,48.82234096593411,2.327861653302471,11
36,Romainville - Vaillant-Couturier,48.86785,2.446748,6
37,Général Martial Valin - Pont du Garigliano,48.83823094269141,2.270506024360657,10
38,Liberté - Vert-de-Maisons,48.79014780960843,2.43286281824112,16
39,Porte de Saint-Ouen - Bessières,48.89792240854517,2.32851451022192,6
40,Bir Hakeim,48.853844054333514,2.289705348222022,30
41,Jules Guesde - Pont du Port à l'Anglais,48.79628807093802,2.417212128639221,27
42,Cambrai - Benjamin Constant,48.89594736851349,2.381133802246315,5
43,De Toqueville - Terrasse,48.882428,2.314002,3
