,fsq_id,category,distance,latitude,longitude,country,city,address,name
51,50edcbb9e4b0f4e820906b4e,Wine Store,926,48.853717,2.380453,FR,Paris,3 rue Basfroi 11e,Septime la Cave
52,527d495611d201ce6ba8fb48,Seafood Restaurant,899,48.853571,2.38088,FR,Paris,80 rue de Charonne Paris,Clamato
53,515f4bd0e4b03c1e7855b051,Pop-Up Store,973,48.850975,2.381369,FR,Paris,8 rue Saint-Bernard,Mel
54,50543808c84c7e50721da3a6,Fast Food Restaurant,1026,48.857126,2.378479,FR,Paris,85 rue de la Roquette 11e,Chez Aline
55,4b76f8eaf964a5200f702ee3,Bistro,1070,48.849872,2.381044,FR,Paris,43-45 rue de Citeaux,L'Ebauchoir
56,5ad06f59febf316801ad0305,Art Museum,1065,48.861587,2.381015,FR,Paris,38 rue Saint-Maur,Atelier des Lumières
57,5585787e498edcdb3d541bd5,Bakery,1138,48.861814,2.379862,FR,Paris,10 Passage Rochebrune 11e,Broken Biscuits
58,55199c44498ed951dcccdda3,Italian Restaurant,1209,48.850997,2.377857,FR,Paris,133 rue du Faubourg Saint-Antoine,East Mamma
59,4d38b652acf1b60c57ad8318,Tapas Restaurant,1293,48.855134,2.375035,FR,Paris,22 rue des Taillandiers,Le Chat Ivre
60,4adcda15f964a520873721e3,Museum,544,48.837229,2.382555,FR,Paris,51 rue de Bercy,La Cinémathèque française
61,591624431b0ea52ea821c07b,Beer Bar,544,48.843859,2.381953,FR,Paris,81 rue du Charolais 12e,Ground Control
62,4b4f8c95f964a520000b27e3,Art Museum,893,48.832705,2.389201,FR,Paris,53 avenue des Terroirs de France,Musée des Arts Forains
63,4b76f8eaf964a5200f702ee3,Bistro,1103,48.849872,2.381044,FR,Paris,43-45 rue de Citeaux,L'Ebauchoir
64,515f4bd0e4b03c1e7855b051,Pop-Up Store,1205,48.850975,2.381369,FR,Paris,8 rue Saint-Bernard,Mel
65,4b1cf16ef964a5209f0a24e3,Movie Theater,1297,48.832158,2.37563,FR,Paris,128-162 avenue de France 13e,MK2 Bibliothèque
66,55199c44498ed951dcccdda3,Italian Restaurant,1344,48.850997,2.377857,FR,Paris,133 rue du Faubourg Saint-Antoine,East Mamma
67,4bb4c84d8786ef3b42a66533,Bakery,1444,48.835602,2.405658,FR,Paris,278 avenue Daumesnil,Vandermeersch
68,50edcbb9e4b0f4e820906b4e,Wine Store,1523,48.853717,2.380453,FR,Paris,3 rue Basfroi 11e,Septime la Cave
69,527d495611d201ce6ba8fb48,Seafood Restaurant,1510,48.853571,2.38088,FR,Paris,80 rue de Charonne Paris,Clamato
70,4b2e385bf964a52067dd24e3,Department Store,54,48.850525,2.324502,FR,Paris,24 rue de Sèvres,Le Bon Marché
71,4adcda21f964a520fc3921e3,Gourmet Store,157,48.850325,2.323607,FR,Paris,38 rue de Sèvres,La Grande Epicerie de Paris
72,5c3235b08afbe0002dcd9eb3,Cocktail Bar,153,48.851285,2.327114,FR,Paris,45 boulevard Raspail 6e,Bar Joséphine
73,5d6ae3b0ca1763000823441b,Peruvian Restaurant,327,48.854281,2.324369,FR,Paris,53 rue de Grenelle,Coya Paris
74,4babdad1f964a5205ecf3ae3,Chocolate Store,354,48.849105,2.328459,FR,Paris,16 rue d'Assas,Jean-Charles Rochoux
75,4b4635eff964a520271a26e3,Cheese Store,535,48.848029,2.319464,FR,Paris,62 rue de Sèvres,Fromagerie Quatrehomme
76,4bc094f1920eb713a51b192c,Clothing Store,520,48.854178,2.330664,FR,Paris,173 boulevard Saint Germain,Ralph Lauren
77,516d9a47e4b004f2bba1f2b9,Asian Restaurant,497,48.852658,2.331387,FR,Paris,6 rue du Sabot,Blueberry
78,58553800fad9dc06353fb898,Lebanese Restaurant,544,48.853113,2.331834,FR,Paris,5 rue Bernard Palissy 75006,Cook'n Saj
79,4adcda1ff964a520843921e3,Bakery,563,48.851459,2.332724,FR,Paris,72 rue Bonaparte Paris,Pierre Hermé
80,4b588679f964a5201c5c28e3,Bookstore,174,48.850568,2.345689,FR,Paris,67 boulevard Saint Germain,Album
81,4adcda21f964a520f23921e3,Bookstore,276,48.852581,2.34712,FR,Paris,37 rue de la Bûcherie,Shakespeare & Company
82,4b530766f964a520f88c27e3,Landmarks and Outdoors,203,48.853439,2.343903,FR,Paris,24 boul. Saint Michel,Place Saint-Michel
83,5b394cae92e7a9002c724cf9,Bakery,387,48.849803,2.348321,FR,Paris,47ter boulevard Saint-Germain,La Maison d'Isabelle
84,4bc0790f4cdfc9b6b4de9221,Indie Movie Theater,229,48.849585,2.342942,FR,Paris,9 rue Champollion,La Filmothèque du Quartier Latin
85,59468bd1898bdc07ffc0d6ac,Creperie,356,48.851546,2.338884,FR,Paris,1 rue de l'Odéon,Breizh Café
86,4afd8300f964a5203a2822e3,Wine Bar,359,48.852038,2.338828,FR,Paris,3 carrefour de l'Odéon,L'Avant-Comptoir
87,4bbde5128a4fb713b57e3d9d,Tea Room,393,48.853403,2.338977,FR,Paris,59-61 rue Saint-André des Arts,La Jacobine
88,4c00046cc30a2d7fbeda111d,Plaza,408,48.853414,2.348487,FR,Paris,place du Parvis-Notre-Dame,Parvis Notre-Dame — Place Jean-Paul II
89,56a761bd498e4801a8e214da,Seafood Restaurant,377,48.85209,2.33887,FR,Paris,3 Carrefour de l'Odéon,Croissance 5 Avant comptoir de la mer
90,4c113790ce57c928a42383d2,Fast Food Restaurant,158,48.881539,2.298976,FR,Paris,8 rue Gustave Flaubert,Il était une oie dans le Sud-Ouest
91,4c224a3611de20a1b7a084ce,Bakery,220,48.883357,2.298823,FR,Paris,143 rue de Courcelles,Boulangerie-Pâtisserie Lohezic
92,4d602544865a224b2091a785,French Restaurant,441,48.879846,2.296229,FR,Paris,16 rue Saussier Leroy,L'Huîtrier
93,4adcda09f964a5200d3421e3,Park,645,48.879424,2.309228,FR,Paris,35-41 boulevard de Courcelles,Parc Monceau
94,5127d6aee4b0e1bb8f8a9f42,Italian Restaurant,659,48.877422,2.295622,FR,Paris,14 rue de l'Etoile,La Cantina Chic
95,4adcda15f964a520a53721e3,Concert Hall,546,48.877042,2.300986,FR,Paris,252 rue du Faubourg Saint Honore 8th,Salle Pleyel
96,50abd239e4b0869279d6a3af,Japanese Restaurant,716,48.875513,2.300553,FR,Paris,35-37 avenue Hoche,Matsuhisa Paris
97,4bd816a009ecb7135f03487c,Jewelry Store,981,48.87341,2.297495,FR,Paris,154 avenue des Champs Elysées,Cartier
98,4bbddcf1593fef3b31ea0356,Museum,1000,48.875308,2.310608,FR,Paris,158 boulevard Haussmann,Musée Jacquemart André
99,5b982ec3f5e9d7002cc1cd2d,Computers and Electronics Retail,1082,48.872368,2.301339,FR,Paris,114 avenue des Champs-Élysées,Apple Champs-Élysées
