,name_x,free_bikes,longitude,latitude,fsq_id,category_id,category_name,distance,country,city,address,name_y
384,Piat - Parc de Belleville,10.0,2.385,48.872,,,,,,,,
385,Lagny - Joffre,6.0,2.418,48.849,,,,,,,,
386,Parc Monceau,1.0,2.31,48.881,,,,,,,,
387,Porte d'Orléans,4.0,2.325,48.823,,,,,,,,
388,Place Falguière,12.0,2.31,48.836,,,,,,,,
389,Vignerons - Minimes,8.0,2.431,48.841,,,,,,,,
390,Emeriau - Place de Brazzaville,45.0,2.287,48.851,,,,,,,,
391,Ecole Militaire - Place Joffre,25.0,2.302,48.852,,,,,,,,
392,Gare d'Austerlitz - Quai Saint-Bernard,0.0,2.366,48.844,,,,,,,,
393,Sommerard - Saint-Jacques,29.0,2.345,48.85,,,,,,,,
394,Tardieu - Chappe,2.0,2.342,48.884,,,,,,,,
395,Petites Ecuries - Faubourg Poissonnière,5.0,2.348,48.874,,,,,,,,
396,Gare de Bercy,5.0,2.383,48.84,,,,,,,,
397,Pierre Ginier - Clichy,3.0,2.326,48.887,,,,,,,,
398,Batignolles - Place de Clichy,11.0,2.326,48.883,,,,,,,,
399,Francoeur - Marcadet,5.0,2.34,48.891,,,,,,,,
400,Henri Chevreau - Couronnes,8.0,2.389,48.87,,,,,,,,
401,Pascal - Claude Bernard,45.0,2.35,48.839,,,,,,,,
402,Place Valhubert,25.0,2.364,48.844,,,,,,,,
403,Lamennais - Washington ,1.0,2.303,48.874,,,,,,,,
404,Lauriston - Copernic,2.0,2.29,48.869,,,,,,,,
405,Pierre Grenier - Pont de Billancourt,10.0,2.249,48.826,,,,,,,,
406,Vasco de Gama,53.0,2.284,48.837,,,,,,,,
407,Bineau - Louise Michel,15.0,2.284,48.887,,,,,,,,
408,Professeur René Leriche - Général Leclerc ,40.0,2.308,48.908,,,,,,,,
409,Bara - Henri Farman,33.0,2.268,48.833,,,,,,,,
410,Carrefour Pleyel,13.0,2.344,48.92,,,,,,,,
411,Navier - Epinettes,6.0,2.323,48.896,,,,,,,,
412,Ledru-Rollin - Charonne,27.0,2.377,48.853,,,,,,,,
413,Parc de Belleville - Julien Lacroix,3.0,2.384,48.87,,,,,,,,
414,Batignolles - Abel Truchet,7.0,2.324,48.883,,,,,,,,
415,Gare de l'Est - Verdun,1.0,2.361,48.876,,,,,,,,
416,Charenton - Place du Col Bourgoin,20.0,2.383,48.845,,,,,,,,
417,Morice - Général Leclerc,18.0,2.313,48.902,,,,,,,,
418,Lucien Sampaix - Récollets,4.0,2.362,48.874,,,,,,,,
419,Place Jean Delay,5.0,2.354,48.823,,,,,,,,
420,Pont de Levallois-bécon ,13.0,2.279,48.898,,,,,,,,
421,Place Violet,23.0,2.291,48.845,,,,,,,,
422,Jonquoy - Didot,7.0,2.316,48.829,,,,,,,,
423,Place du Général de Gaulle,12.0,2.488,48.853,,,,,,,,
424,Quai Voltaire,28.0,2.331,48.859,,,,,,,,
425,Dunois - Clisson,19.0,2.367,48.832,,,,,,,,
426,Edouard Vaillant - Paul-Adolphe Souriau,6.0,2.248,48.835,,,,,,,,
427,Michelet - Assas,4.0,2.335,48.843,,,,,,,,
428,Porte Dorée,15.0,2.408,48.835,,,,,,,,
429,Félix Faure - Lourmel,47.0,2.282,48.839,,,,,,,,
430,Belleville - Porte des Lilas,2.0,2.405,48.877,,,,,,,,
431,Haxo - Surmelin,4.0,2.405,48.869,,,,,,,,
432,Gare de l'Est - Place du 11 Novembre 1918,1.0,2.359,48.876,,,,,,,,
433,Porte de Clignancourt.,1.0,2.344,48.897,,,,,,,,
434,Primo Levi - Frigos,31.0,2.38,48.831,,,,,,,,
435,Place Alphonse Deville,8.0,2.328,48.85,,,,,,,,
436,Hôtel de Ville d'Argenteuil,17.0,2.25,48.947,,,,,,,,
437,Mézières - Rennes ,29.0,2.33,48.85,,,,,,,,
438,Place Adolphe Cherioux - Vaugirard,25.0,2.301,48.84,,,,,,,,
439,Charles de Gaulle - Madrid,12.0,2.261,48.884,,,,,,,,
440,Tanger - Place du Maroc,5.0,2.369,48.886,,,,,,,,
441,Ménilmontant - Pelleport,2.0,2.399,48.871,,,,,,,,
442,Vincennes - Douy-Delcupe,9.0,2.436,48.855,,,,,,,,
443,Place du Cornillon - Stade de France,2.0,2.364,48.925,,,,,,,,
444,Belfort - Voltaire,17.0,2.383,48.856,,,,,,,,
445,Porte de Saint-Ouen - Henri Huchard,10.0,2.33,48.899,,,,,,,,
446,Place du Maréchal Juin - Péreire,1.0,2.298,48.885,,,,,,,,
447,Victoria - Place du Chatelet,15.0,2.347,48.858,,,,,,,,
448,Vinaigriers - Magenta,6.0,2.359,48.873,,,,,,,,
449,République - Danton,3.0,2.462,48.852,,,,,,,,
450,Colonel Monteil - Brune,2.0,2.309,48.827,,,,,,,,
451,Gare d'Asnières sur Seine,16.0,2.284,48.906,,,,,,,,
452,Verdun - Adrien Damalix,11.0,2.422,48.822,,,,,,,,
453,Milton - Manuel,5.0,2.341,48.878,,,,,,,,
454,Edouard Pailleron - Simon Bolivar ,3.0,2.375,48.88,,,,,,,,
455,Mac-Mahon - Brey,4.0,2.295,48.878,,,,,,,,
456,Eglise d'Auteuil,7.0,2.268,48.847,,,,,,,,
457,Lepic - Armée d'Orient,7.0,2.334,48.888,,,,,,,,
458,Jean Jaurès - Jean Baptiste Clément ,19.0,2.237,48.846,,,,,,,,
459,Château - Bineau,7.0,2.27,48.89,,,,,,,,
460,Courcelles - Pierre Demours,4.0,2.299,48.884,,,,,,,,
461,Mairie du 18ème,6.0,2.345,48.893,,,,,,,,
462,Bridaine - Lamandé,7.0,2.321,48.886,,,,,,,,
463,Porte de Ménilmontant,4.0,2.409,48.869,,,,,,,,
464,Laffitte - Italiens,11.0,2.337,48.872,,,,,,,,
465,Place Lafayette,44.0,2.264,48.83,,,,,,,,
466,Indre - Prairies,4.0,2.403,48.863,,,,,,,,
467,Université Paris Dauphine,0.0,2.275,48.871,,,,,,,,
468,Lourmel - Marie Skobtsov,21.0,2.287,48.845,,,,,,,,
469,Belleville - Télégraphe,2.0,2.4,48.876,,,,,,,,
470,Danton - Serpente,15.0,2.341,48.852,,,,,,,,
471,Cité des Sciences et de l'Industrie,3.0,2.385,48.897,,,,,,,,
472,Place de Verdun,36.0,2.474,48.82,,,,,,,,
473,Square des Epinettes,11.0,2.326,48.894,,,,,,,,
474,Les Planètes ,14.0,2.458,48.81,,,,,,,,
475,Chabrol - d'Hauteville,2.0,2.351,48.877,,,,,,,,
476,Square du Carrefour de l'Insurrection,9.0,2.291,48.821,,,,,,,,
477,Square Saint-Ambroise,12.0,2.376,48.861,,,,,,,,
478,Hameau Fleuri - Marché,18.0,2.241,48.831,,,,,,,,
479,Pajol - Riquet ,18.0,2.363,48.89,,,,,,,,
480,Lassus - Delouvain,3.0,2.389,48.876,,,,,,,,
481,Emile Blemont - Poteau,8.0,2.342,48.894,,,,,,,,
482,Jean Bleuzen - Square du 11 Novembre,1.0,2.297,48.823,,,,,,,,
483,Orteaux - Mouraud,6.0,2.409,48.856,,,,,,,,
484,François Ponsard - La Muette ,7.0,2.274,48.858,,,,,,,,
485,Provence - Chaussée d'Antin,12.0,2.333,48.874,,,,,,,,
486,Ledru-Rollin - Place du Père Chaillet,31.0,2.379,48.856,,,,,,,,
487,Assas - Vaugirard,15.0,2.329,48.848,,,,,,,,
488,Pelleport - Belgrand,7.0,2.404,48.865,,,,,,,,
489,Ordener - Poissonniers,8.0,2.351,48.891,,,,,,,,
490,Place Etienne Pernet,32.0,2.292,48.842,,,,,,,,
491,Mairie du 10ème,12.0,2.358,48.872,,,,,,,,
492,Porte d'Aubervilliers,26.0,2.369,48.899,,,,,,,,
493,Sadi Carnot - François Mitterrand ,8.0,2.424,48.875,,,,,,,,
494,Bellefond - Maubeuge,4.0,2.345,48.878,,,,,,,,
495,Théâtre - Lourmel,34.0,2.29,48.848,,,,,,,,
496,Aubervilliers - Curial,7.0,2.369,48.891,,,,,,,,
497,Champs-Elysees - Bassano,0.0,2.3,48.872,,,,,,,,
498,Balard - Montagne de la Fage,27.0,2.278,48.839,,,,,,,,
499,Place Pasdeloup,17.0,2.367,48.863,,,,,,,,
500,Méchain - Faubourg Saint-Jacques,2.0,2.338,48.836,,,,,,,,
501,Stade Auguste Delaune,13.0,2.435,48.809,,,,,,,,
502,Maison de Radio - France,27.0,2.278,48.851,,,,,,,,
503,Square Léon,3.0,2.353,48.887,,,,,,,,
504,Jean-Baptiste Pigalle - La Bruyere,2.0,2.334,48.879,,,,,,,,
505,Transvaal - Charles de Gaulle ,2.0,2.237,48.848,,,,,,,,
506,Belliard - Damrémont,17.0,2.338,48.897,,,,,,,,
507,Mozart - Jasmin,2.0,2.268,48.853,,,,,,,,
508,Boulets - Faubourg Saint-Antoine,16.0,2.392,48.849,,,,,,,,
509,Haies - Réunion,14.0,2.402,48.854,,,,,,,,
510,Maine - Antoine Bourdelle,1.0,2.32,48.843,,,,,,,,
511,Kléber - Gouverneur Général Eboué,17.0,2.272,48.827,,,,,,,,
512,Président Wilson - Jean Jaures,10.0,2.292,48.89,,,,,,,,
513,Pyrénées - Maraîchers,4.0,2.404,48.857,,,,,,,,
514,Beaujon - Wagram,5.0,2.296,48.875,,,,,,,,
515,Place Jacques Bonsergent,8.0,2.361,48.871,,,,,,,,
516,Naples - Rome,6.0,2.321,48.88,,,,,,,,
517,Place de Passy,0.0,2.278,48.858,,,,,,,,
518,Gare RER de Saint-Denis,15.0,2.347,48.936,,,,,,,,
519,Pont Neuf - Rivoli,6.0,2.344,48.86,,,,,,,,
520,Gare du Nord - Dunkerque,2.0,2.353,48.88,,,,,,,,
521,Lavandieres Sainte Opportune - Rivoli,10.0,2.347,48.859,,,,,,,,
522,Musée d'Orsay,42.0,2.326,48.86,,,,,,,,
523,Bassano -  Iéna,1.0,2.296,48.868,,,,,,,,
524,Clichy - Place Blanche,2.0,2.333,48.884,,,,,,,,
525,8 Mai 1945 - 10 Juillet 1940,20.0,2.398,48.785,,,,,,,,
526,Diderot - Pierre Bourdan,13.0,2.39,48.848,,,,,,,,
527,Lallier - Trudaine ,2.0,2.341,48.881,,,,,,,,
528,Gare du Nord - Saint-Vincent de Paul,1.0,2.352,48.881,,,,,,,,
529,Pereire - Place de Wagram,9.0,2.304,48.887,,,,,,,,
530,Traversière - Ledru-Rollin,17.0,2.376,48.851,,,,,,,,
531,Ménilmontant - Père Lachaise,6.0,2.387,48.863,,,,,,,,
532,Sabot - Rennes,20.0,2.332,48.853,,,,,,,,
533,Palais des Sports,1.0,2.286,48.833,,,,,,,,
534,Fontainebleau - Edmond Michelet,8.0,2.363,48.81,,,,,,,,
535,Hôpital Pitié Salpêtrière,9.0,2.36,48.838,,,,,,,,
536,Chernoviz - Raynouard,2.0,2.282,48.857,,,,,,,,
537,Eugène Oudiné - Dessous Des Berges,34.0,2.375,48.826,,,,,,,,
538,Mont Valérien - Michel Salles,2.0,2.215,48.856,,,,,,,,
539,Place du Moulin de Javel,45.0,2.272,48.84,,,,,,,,
540,Batignolles - Rome,1.0,2.32,48.882,,,,,,,,
541,Neuve Saint-Pierre - Beautreillis,11.0,2.364,48.854,,,,,,,,
542,Alfred Roll - Berthier,18.0,2.3,48.888,,,,,,,,
543,Pernety - Raymond Losserand,0.0,2.318,48.834,,,,,,,,
544,Gare Montparnasse - Vaugirard,4.0,2.32,48.842,,,,,,,,
545,Villersexel - Saint-Germain,8.0,2.324,48.858,,,,,,,,
546,Sénat - Condé,6.0,2.338,48.85,,,,,,,,
547,Granges aux Belles - Hôpital Saint-Louis,16.0,2.367,48.875,,,,,,,,
548,Parc de Choisy,7.0,2.359,48.828,,,,,,,,
549,Aqueduc - Villette,2.0,2.367,48.884,,,,,,,,
550,Belleville - Pyrénées,7.0,2.386,48.874,,,,,,,,
551,Calmette,4.0,2.425,48.881,,,,,,,,
552,Billancourt - Général Leclerc ,14.0,2.238,48.832,,,,,,,,
553,Manin - Simon Bolivar,6.0,2.379,48.876,,,,,,,,
554,Greneta - Sebastopol,15.0,2.352,48.865,,,,,,,,
555,Favart - Italiens,6.0,2.338,48.871,,,,,,,,
556,Parvis Corentin Celton,43.0,2.278,48.827,,,,,,,,
557,Parc André Citroën,54.0,2.278,48.841,,,,,,,,
558,François 1er - Montaigne,7.0,2.307,48.867,,,,,,,,
559,Roquépine - Malesherbes,9.0,2.32,48.873,,,,,,,,
560,Bois de Vincennes.,10.0,2.413,48.834,,,,,,,,
561,Surcouf - Université,39.0,2.309,48.861,,,,,,,,
562,Ney - Charles Hermite,16.0,2.365,48.899,,,,,,,,
563,Faubourg Poissonniere - Delta,4.0,2.35,48.883,,,,,,,,
564,Saint-Amand - Labrouste,13.0,2.309,48.834,,,,,,,,
565,Place du Maquis du Vercors,0.0,2.408,48.877,,,,,,,,
566,Jeanne Hornet - Girardot,2.0,2.428,48.874,,,,,,,,
567,Uzès - Montmartre,3.0,2.343,48.871,,,,,,,,
568,Duroc - Place de Breteuil,15.0,2.313,48.847,,,,,,,,
569,Vieille du Temple - Francs Bourgeois,20.0,2.358,48.858,,,,,,,,
570,Gare du Nord - Demarquay,1.0,2.358,48.881,,,,,,,,
571,Place François Mitterand,0.0,2.443,48.865,,,,,,,,
572,Hôtel de Ville de Champigny sur Marne,19.0,2.51,48.814,,,,,,,,
573,Place Pigalle,3.0,2.336,48.883,,,,,,,,
574,Bastille - Beaumarchais,17.0,2.369,48.854,,,,,,,,
575,Poissonniers - Nord,5.0,2.352,48.893,,,,,,,,
576,Marignan - Champs-Elysées,8.0,2.307,48.869,,,,,,,,
577,Reims - Porte d'Asnières,9.0,2.3,48.892,,,,,,,,
578,Saint-Jacques - Tombe Issoire,5.0,2.337,48.833,,,,,,,,
579,Hôtel de Ville - Pont-Marie,29.0,2.357,48.854,,,,,,,,
580,Bercy.,6.0,2.379,48.84,,,,,,,,
581,Centenaire - Sorins,4.0,2.427,48.859,,,,,,,,
582,Saint-Blaise - Mouraud,2.0,2.409,48.857,,,,,,,,
583,Romain Rolland,3.0,2.323,48.82,,,,,,,,
584,Damrémont - Caulaincourt,4.0,2.333,48.887,,,,,,,,
585,Parmentier - Fontaine au Roi,22.0,2.373,48.868,,,,,,,,
586,Square Desnouettes,5.0,2.284,48.835,,,,,,,,
587,Brochant - Square des Batignolles ,8.0,2.317,48.888,,,,,,,,
588,Hôtel de Ville de Levallois Perret,15.0,2.289,48.893,,,,,,,,
589,Mairie de Clichy,44.0,2.306,48.904,,,,,,,,
590,Square Raymond Souplex,8.0,2.335,48.892,,,,,,,,
591,Convention - Saint-Charles,17.0,2.283,48.843,,,,,,,,
592,Keller - La Roquette,28.0,2.375,48.856,,,,,,,,
593,Pont de Lodi - Dauphine,9.0,2.34,48.855,,,,,,,,
594,Thérèse - Opéra,19.0,2.334,48.866,,,,,,,,
595,Place de Finlande,13.0,2.311,48.862,,,,,,,,
596,Ney - Porte de Montmartre,9.0,2.336,48.898,,,,,,,,
597,Rougemont - Poissonnière,6.0,2.346,48.872,,,,,,,,
598,Lagny - Auguste Blanqui,4.0,2.422,48.849,,,,,,,,
599,Mairie du 15ème,15.0,2.299,48.842,,,,,,,,
600,Place des Larris,6.0,2.478,48.857,,,,,,,,
601,Manin - Crimée,13.0,2.386,48.883,,,,,,,,
602,Nationale - Marcel Duchamp,2.0,2.368,48.825,,,,,,,,
603,Franciade - Gabriel Péri,18.0,2.356,48.933,,,,,,,,
604,Charonne - Philippe-Auguste,5.0,2.391,48.856,,,,,,,,
605,Charles Delescluze,36.0,2.381,48.852,,,,,,,,
606,Paul Doumer - La Tour,6.0,2.281,48.86,,,,,,,,
607,Poissy - Saint-Germain,23.0,2.353,48.85,,,,,,,,
608,Vistule - Choisy,11.0,2.362,48.824,,,,,,,,
609,Gambetta - Michelet,11.0,2.43,48.853,,,,,,,,
610,Les Juilliottes,19.0,2.444,48.804,,,,,,,,
611,République - Henri Barbusse,22.0,2.389,48.907,,,,,,,,
612,Jeûneurs - Mulhouse,20.0,2.347,48.869,,,,,,,,
613,Danielle Casanova - Place Vendôme,20.0,2.33,48.868,,,,,,,,
614,Versailles - Claude Terrasse,34.0,2.264,48.84,,,,,,,,
615,Claude Vellefaux - Sambre et Meuse,13.0,2.37,48.875,,,,,,,,
616,Faidherbe - Dahomey,22.0,2.384,48.851,,,,,,,,
617,Fernand Braudel - Vincent Auriol ,31.0,2.372,48.836,,,,,,,,
618,Porte Saint-Martin,19.0,2.356,48.869,,,,,,,,
619,Gare de l'Est - Chateau Landon,4.0,2.362,48.879,,,,,,,,
620,Place Saint-Ferdinand,7.0,2.289,48.878,,,,,,,,
621,Le Vau - Maurice Bertaux,3.0,2.411,48.868,,,,,,,,
622,Place du Canada,13.0,2.31,48.865,,,,,,,,
623,Arsène Houssaye - Champs-Elysées,5.0,2.298,48.873,,,,,,,,
624,Daunou - Louis le Grand,13.0,2.333,48.869,,,,,,,,
625,Bleue - Trévise,10.0,2.347,48.876,,,,,,,,
626,Parc de Sceaux - Centre-Ville,25.0,2.296,48.777,,,,,,,,
627,Sorbonne - Ecoles,38.0,2.343,48.85,,,,,,,,
628,Place Mireille Havet,39.0,2.384,48.851,,,,,,,,
629,Pierre Sarrazin - Saint-Michel,33.0,2.342,48.851,,,,,,,,
630,Mornay - Sully,9.0,2.364,48.85,,,,,,,,
631,Bachaumont - Montmartre,25.0,2.345,48.866,,,,,,,,
632,Place Tony de Graaff,21.0,2.246,48.818,,,,,,,,
633,François 1er - Lincoln,1.0,2.302,48.87,,,,,,,,
634,Blaise-Desgoffe - Vaugirard,15.0,2.324,48.846,,,,,,,,
635,Ferrus - Saint-Jacques,6.0,2.341,48.831,,,,,,,,
636,Lamartine - Faubourg Montmartre,4.0,2.34,48.877,,,,,,,,
637,Mairie du 19ème,3.0,2.381,48.883,,,,,,,,
638,Odessa - Départ,0.0,2.324,48.843,,,,,,,,
639,Quai Marcel Boyer - Victor Hugo,21.0,2.392,48.823,,,,,,,,
640,Jardin Marguerite Long,5.0,2.284,48.882,,,,,,,,
641,Place de l'Eglise - Pantin,2.0,2.412,48.893,,,,,,,,
642,Melun - Jean Jaurès,0.0,2.376,48.884,,,,,,,,
643,Suffren - Pérignon,26.0,2.307,48.847,,,,,,,,
644,Jean Jaurès - Reine,28.0,2.24,48.84,,,,,,,,
645,Argenson - Château,1.0,2.264,48.889,,,,,,,,
646,Square du Bataclan,14.0,2.371,48.863,,,,,,,,
647,Butte aux Cailles - Esperance,9.0,2.349,48.828,,,,,,,,
648,Louis Ganne - Davout,8.0,2.41,48.863,,,,,,,,
649,Roquette - Folie Regnault,11.0,2.387,48.859,,,,,,,,
650,Vignes - Boulainvilliers,5.0,2.275,48.856,,,,,,,,
651,Tremblay - Lac des Minimes,25.0,2.455,48.834,,,,,,,,
652,Terroirs de France - Lheureux,22.0,2.389,48.832,,,,,,,,
653,Place Marcel Sembat,41.0,2.244,48.833,,,,,,,,
654,Censier - Jardin des Plantes,23.0,2.355,48.841,,,,,,,,
655,Brochant - Clichy,17.0,2.32,48.89,,,,,,,,
656,René Binet - Porte de Montmartre,4.0,2.337,48.899,,,,,,,,
657,Charles de Gaulle - Plateau de Vanves,6.0,2.299,48.822,,,,,,,,
658,René Coty - Parc Montsouris,9.0,2.336,48.825,,,,,,,,
659,François Truffaut - Saint Emilion,38.0,2.387,48.834,,,,,,,,
660,Lac Daumesnil - Saint-Maurice,14.0,2.418,48.828,,,,,,,,
661,Montreuil - Voltaire,15.0,2.393,48.851,,,,,,,,
662,Léon - Doudeauville,7.0,2.354,48.888,,,,,,,,
663,Moulin de la Pointe,3.0,2.356,48.821,,,,,,,,
664,Place du 8 mai 1945,22.0,2.357,48.939,,,,,,,,
665,Schoelcher - Raspail,11.0,2.331,48.837,,,,,,,,
666,Gare de Clichy-Levallois ,15.0,2.298,48.897,,,,,,,,
667,Daumesnil - Picpus,24.0,2.402,48.837,,,,,,,,
668,Place Charles Vallin,21.0,2.303,48.836,,,,,,,,
669,Le Corbusier - Jean Jaurès,23.0,2.241,48.838,,,,,,,,
670,Beaumarchais - Pas de la Mule,17.0,2.368,48.856,,,,,,,,
671,Place Centrale,2.0,2.228,48.787,,,,,,,,
672,Mairie du 9ème,5.0,2.341,48.873,,,,,,,,
673,Jean Moulin - Paul Doumer,6.0,2.455,48.862,,,,,,,,
674,Boutroux - Porte de Vitry,41.0,2.378,48.823,,,,,,,,
675,Jules Guesde - Alsace,6.0,2.295,48.891,,,,,,,,
676,Véron - Lepic,5.0,2.335,48.885,,,,,,,,
677,Commandant l'Herminier - Gallieni,4.0,2.416,48.847,,,,,,,,
678,Pont De Charenton,17.0,2.42,48.818,,,,,,,,
679,Pierre Brossolette - Adolphe Pinard,7.0,2.313,48.822,,,,,,,,
680,Station Paris Basketball - Stade Georges Carpentier,8.0,2.367,48.82,,,,,,,,
681,Gare de Nanterre Ville,32.0,2.196,48.895,,,,,,,,
682,Senard - Charles Blum,4.0,2.221,48.857,,,,,,,,
683,Charles de Gaulle - Orléans ,15.0,2.272,48.881,,,,,,,,
684,Saint-Fargeau - Mortier,11.0,2.408,48.873,,,,,,,,
685,Gergovie - Vercingétorix,2.0,2.313,48.835,,,,,,,,
686,Londres - Amsterdam,0.0,2.326,48.878,,,,,,,,
687,Choisy - Tolbiac,3.0,2.36,48.826,,,,,,,,
688,Mahatma Gandhi,7.0,2.264,48.876,,,,,,,,
689,Pyramide - Parc Floral,32.0,2.44,48.837,,,,,,,,
690,Jules Guesde - Laennec,2.0,2.501,48.876,,,,,,,,
691,Demi-Lune - Aristide Briand,10.0,2.456,48.876,,,,,,,,
692,Bois de Vincennes - Porte Jaune,16.0,2.461,48.839,,,,,,,,
693,Guy Môquet - Saint-Ouen,12.0,2.327,48.893,,,,,,,,
694,Pré Saint-Gervais - Lilas,7.0,2.396,48.878,,,,,,,,
695,Choron - Martyrs,7.0,2.34,48.878,,,,,,,,
696,Sambre et Meuse - Villette,12.0,2.374,48.874,,,,,,,,
697,Place du Président Salvador Allende,5.0,2.401,48.897,,,,,,,,
698,Square Edmond Pépin,13.0,2.403,48.884,,,,,,,,
699,Clapeyron - Moscou,11.0,2.325,48.881,,,,,,,,
700,Boussingault - Tolbiac,15.0,2.342,48.826,,,,,,,,
701,Paul Klee - Place Augusta Holmes,38.0,2.37,48.839,,,,,,,,
702,Jacquard - Ternaux ,22.0,2.373,48.865,,,,,,,,
703,Alexander Fleming - Belvédère,1.0,2.403,48.882,,,,,,,,
704,Honoré d'Estienne d'Ovres - Grilles,6.0,2.406,48.891,,,,,,,,
705,Eylau - Trocadéro,4.0,2.286,48.863,,,,,,,,
706,Santé - Arago,3.0,2.342,48.835,,,,,,,,
707,Athènes - Clichy,0.0,2.33,48.878,,,,,,,,
708,Paul Barruel - Vaugirard,19.0,2.304,48.84,,,,,,,,
709,Longchamp - Place d'Iéna,11.0,2.293,48.865,,,,,,,,
710,Parc Suzanne Lenglen,33.0,2.277,48.833,,,,,,,,
711,Louis Blanc - Jemmapes,2.0,2.368,48.879,,,,,,,,
712,Averroès - Aimé Césaire,18.0,2.413,48.914,,,,,,,,
713,Place de la Montagne du Goulet,7.0,2.277,48.844,,,,,,,,
714,Gare de Lyon - Van Gogh,28.0,2.37,48.844,,,,,,,,
715,Charles Lecocq - Lecourbe,21.0,2.295,48.84,,,,,,,,
716,Quai de Valmy,2.0,2.368,48.881,,,,,,,,
717,Place d'Italie - Vincent Auriol,7.0,2.357,48.831,,,,,,,,
718,Square de la rue Pixérécourt,7.0,2.396,48.874,,,,,,,,
719,Place du Front Populaire - George Sand,17.0,2.365,48.907,,,,,,,,
720,Bastille - Quai de la Rapée,19.0,2.367,48.847,,,,,,,,
721,Auguste Blanqui - Glacière,6.0,2.344,48.831,,,,,,,,
722,Mazagran - Pierre de Coubertin,6.0,2.344,48.816,,,,,,,,
723,Place Fernand Forest,21.0,2.282,48.849,,,,,,,,
724,Wurtz - Tolbiac,24.0,2.345,48.826,,,,,,,,
725,Hôtel de ville de Fontenay-sous-Bois,3.0,2.475,48.849,,,,,,,,
726,Pierre Demours - Laugier,13.0,2.295,48.881,,,,,,,,
727,Ivry - Simone Weil,7.0,2.366,48.823,,,,,,,,
728,Metz - Faubourg Saint-Denis,41.0,2.354,48.871,,,,,,,,
729,Botzaris - Crimée,1.0,2.389,48.88,,,,,,,,
730,Saint-Didier - Raymond Poincaré,2.0,2.286,48.866,,,,,,,,
731,Pelée - Alphonse Baudin,27.0,2.371,48.86,,,,,,,,
732,Traktir - Foch,2.0,2.292,48.873,,,,,,,,
733,Saint-Lazare - Place d'Estienne d'Orves,4.0,2.333,48.877,,,,,,,,
734,Place Jules Ferry,16.0,2.326,48.812,,,,,,,,
735,Censier - Santeuil,66.0,2.354,48.841,,,,,,,,
736,Cimetière d'Issy-les-Moulineaux,16.0,2.261,48.818,,,,,,,,
737,Mairie de Neuilly sur Seine,13.0,2.268,48.885,,,,,,,,
738,Pierre Levée - Fontaine Timbaud,14.0,2.371,48.866,,,,,,,,
739,Gare Montparnasse - Edgar Quinet,1.0,2.323,48.841,,,,,,,,
740,Joseph Sansboeuf - Saint Lazare,4.0,2.323,48.875,,,,,,,,
741,Cours de l'Ile Seguin - Parc Billancourt,12.0,2.234,48.827,,,,,,,,
742,Marcel Yol - Jullien,14.0,2.287,48.825,,,,,,,,
743,Marc Sangnier - Division Leclerc,23.0,2.33,48.786,,,,,,,,
744,Convention - Vaugirard,20.0,2.296,48.838,,,,,,,,
745,Résistance - Hoche,4.0,2.436,48.864,,,,,,,,
746,Paul Vaillant-Couturier - Gare RER,24.0,2.402,48.801,,,,,,,,
747,Raffet - Montmorency,12.0,2.263,48.853,,,,,,,,
748,Commerce - Letellier,33.0,2.297,48.848,,,,,,,,
749,Victor Cresson - Telles de la Poterie,29.0,2.269,48.823,,,,,,,,
750,Carnot - Général Lanrezac,0.0,2.294,48.875,,,,,,,,
751,Fessart - Château,15.0,2.24,48.842,,,,,,,,
752,Jean-Pierre Timbaud - Vaucouleurs,28.0,2.378,48.868,,,,,,,,
753,Bruneseau - Quai d'Ivry,36.0,2.389,48.825,,,,,,,,
754,Hôtel de Ville de Fontenay-aux-Roses,5.0,2.287,48.791,,,,,,,,
755,Bercy - Villot,13.0,2.377,48.842,,,,,,,,
756,Petites Ecuries - Faubourg Saint-Denis,21.0,2.354,48.873,,,,,,,,
757,Brancion - Lefebvre,1.0,2.301,48.829,,,,,,,,
758,Malesherbes - Place de la Madeleine,51.0,2.323,48.87,,,,,,,,
759,Temple - Charlot,34.0,2.365,48.866,,,,,,,,
760,Docteurs Déjérine - Pte de Montreuil,0.0,2.412,48.854,,,,,,,,
761,Cimetière de Boulogne-Billancourt,12.0,2.252,48.831,,,,,,,,
762,Pontoise - La Tournelle,18.0,2.352,48.85,,,,,,,,
763,Vanne - Général de Gaulle,7.0,2.328,48.815,,,,,,,,
764,Charles de Gaulle - Beauté,10.0,2.48,48.836,,,,,,,,
765,Malakoff - Place de la Porte Maillot,0.0,2.283,48.877,,,,,,,,
766,Ranelagh - Maison de la Radio,19.0,2.28,48.853,,,,,,,,
767,Gare SNCF Vanves-Malakoff,3.0,2.292,48.819,,,,,,,,
768,Vanne - Saussaies,4.0,2.339,48.786,,,,,,,,
769,André Maurois - Joseph et Marie Hackin,13.0,2.279,48.878,,,,,,,,
770,Pierre Lefaucheux - Traversière,14.0,2.242,48.824,,,,,,,,
771,Vitruve - Davout,3.0,2.409,48.861,,,,,,,,
772,Place de l'Insurrection d'Août 1944 ,25.0,2.398,48.815,,,,,,,,
773,Buzenval - Avron,3.0,2.402,48.852,,,,,,,,
774,Porte d'Italie,0.0,2.36,48.817,,,,,,,,
775,Westermeyer - Paul Vaillant-Couturier,24.0,2.397,48.819,,,,,,,,
