,name_x,free_bikes,longitude,latitude,fsq_id,category_id,category_name,distance,country,city,address,name_y
87,Quai de l'Horloge - Pont Neuf,9.0,2.342,48.857,,,,,,,,
88,Gare Saint-Lazare - Isly,5.0,2.327,48.875,,,,,,,,
89,Ambroise Rendu - Porte Brunet,4.0,2.396,48.884,,,,,,,,
90,Gare de Lyon - Place Louis Armand,3.0,2.373,48.846,,,,,,,,
91,Institut de France,7.0,2.336,48.858,,,,,,,,
92,Porte Pouchet-Bessières,6.0,2.323,48.898,,,,,,,,
93,Vigée-Lebrun - Anselme Payen,8.0,2.311,48.839,,,,,,,,
94,Institut du Monde Arabe - Saint-Germain,32.0,2.356,48.849,,,,,,,,
95,Octave Gréard - Tour Eiffel,22.0,2.293,48.857,,,,,,,,
96,Château - République,6.0,2.416,48.863,,,,,,,,
97,Chartres - La Charbonnière,4.0,2.353,48.885,,,,,,,,
98,Lisbonne - Monceau,4.0,2.31,48.877,,,,,,,,
99,Moncey - Blanche,7.0,2.331,48.88,,,,,,,,
100,Rochechouart lamartine,9.0,2.344,48.877,,,,,,,,
101,Jemmapes - Ecluses Saint-Martin,8.0,2.366,48.877,,,,,,,,
102,Thionville - Ourcq,6.0,2.383,48.889,,,,,,,,
103,Gare du Nord - Hôpital Lariboisière,5.0,2.352,48.882,,,,,,,,
104,Legendre - Clichy,9.0,2.323,48.889,,,,,,,,
105,Quai de la Seine,2.0,2.37,48.884,,,,,,,,
106,Cité Riverin - Château d'Eau,12.0,2.359,48.871,,,,,,,,
107,Mutualité,31.0,2.35,48.848,,,,,,,,
108,Rossini - Laffitte,7.0,2.338,48.873,,,,,,,,
109,Pyrénées - Emmery,1.0,2.392,48.872,,,,,,,,
110,Diderot - Reuilly,38.0,2.386,48.847,,,,,,,,
111,Saint-Ambroise - Parmentier,8.0,2.377,48.862,,,,,,,,
112,Belidor - Gouvion-Saint-Cyr,20.0,2.285,48.88,,,,,,,,
113,Place Balard,9.0,2.278,48.836,,,,,,,,
114,Place de Rhin et Danube,6.0,2.393,48.882,,,,,,,,
115,Roquette - Thiéré,18.0,2.373,48.855,,,,,,,,
116,Berri - Haussmann,4.0,2.308,48.875,,,,,,,,
117,Saint-Maur - Roquette,16.0,2.384,48.859,,,,,,,,
118,11 Novembre 1918 - 8 Mai 1945,8.0,2.538,48.809,,,,,,,,
119,Place Du Général De Gaulle,3.0,2.433,48.869,,,,,,,,
