,fsq_id,category_id,category_name,latitude,longitude,country,city,address,timezone,name
0,4b058879f964a52014c822e3,13003.0,Bar,45.467682,9.174159,IT,Milan,"Via Giovanni Boccaccio 9, 20123 Milano Lombardy",Europe/Rome,Chocolat
1,57e52fa0498efbcaf058850b,13276.0,Sushi Restaurant,45.467927,9.174402,IT,Milan,"Via Giovanni Boccaccio 4, 20123 Milano Lombardy",Europe/Rome,Temakinho Magenta
2,4e19725d1f6eb9559883d15e,10027.0,Museum,45.470564,9.179293,IT,Milan,"Piazza Castello 3, 20121 Milano Lombardy",Europe/Rome,Musei Castello Sforzesco
3,56e9617d498ec215dab4d682,13040.0,Dessert Shop,45.466171,9.17664,IT,Milan,"Corso Magenta 32, 20121 Milano Lombardy",Europe/Rome,Ammu Cannoli Espressi Siciliani
4,4b71ab41f964a520e7542de3,16041.0,Plaza,45.470814,9.182074,IT,Milan,"Piazza Castello, 20121 Milano Lombardy",Europe/Rome,Piazza Castello
5,4c0def7f336220a1567acb77,16016.0,Fountain,45.469237,9.180917,IT,Milan,"Piazza Castello 1, 20121 Milano Lombardy",Europe/Rome,Fontana del Castello Sforzesco
6,4b05887df964a52057c922e3,10027.0,Museum,45.472288,9.173575,IT,Milan,"Viale Emilio Alemagna 6, 20121 Milano Lombardy",Europe/Rome,La Triennale di Milano
7,4b058879f964a520ebc722e3,13145.0,Fast Food Restaurant,45.465061,9.17538,IT,Milan,"Via Carducci 17, 20123 Milano Lombardy",Europe/Rome,Boccondivino
8,4b05887bf964a52075c822e3,10027.0,Museum,45.465993,9.170877,IT,Milan,"Piazza Santa Maria delle Grazie 2, 20123 Milano Lombardy",Europe/Rome,Museum of the Last Supper (Museo del Cenacolo Vinciano)
9,4c877a3ed92ea093ff1e7672,13003.0,Bar,45.466098,9.180952,IT,Milan,"Via San Giovanni sul Muro 19, 20121 Milano Lombardy",Europe/Rome,Gay Odin
